included,Title,DOI,Abstract
1,Potential for Point-of-Care Tests to Reduce Chlamydia-associated Burden in the United States: A Mathematical Modeling Analysis,10.1093/cid/ciz519,"BACKGROUND: Point-of-care testing (POCT) assays for chlamydia are being developed. Their potential impact on the burden of chlamydial infection in the United States, in light of suboptimal screening coverage, remains unclear. METHODS: Using a transmission model calibrated to data in the United States, we estimated the impact of POCT on chlamydia prevalence, incidence, and chlamydia-attributable pelvic inflammatory disease (PID) incidence, assuming status quo (Analysis 1) and improved (Analysis 2) screening frequencies. We tested the robustness of results to changes in POCT sensitivity, the proportion of patients getting treated immediately, the baseline proportion lost to follow-up (LTFU), and the average treatment delay. RESULTS: In Analysis 1, high POCT sensitivity was needed to reduce the chlamydia-associated burden. With a POCT sensitivity of 90%, reductions from the baseline burden only occurred in scenarios in which over 60% of the screened individuals would get immediate treatment and the baseline LTFU proportion was 20%. With a POCT sensitivity of 99% (baseline LTFU 10%, 2-week treatment delay), if everyone were treated immediately, the prevalence reduction was estimated at 5.7% (95% credible interval [CrI] 3.9-8.2%). If only 30% of tested persons would wait for results, the prevalence reduction was only 1.6% (95% CrI 1.1-2.3). POCT with 99% sensitivity could avert up to 12 700 (95% CrI 5000-22 200) PID cases per year, if 100% were treated immediately (baseline LTFU 20% and 3-week treatment delay). In Analysis 2, when POCT was coupled with increasing screening coverage, reductions in the chlamydia burden could be realized with a POCT sensitivity of 90%. CONCLUSIONS: POCT could improve chlamydia prevention efforts if test performance characteristics are significantly improved over currently available options."
1,Screening for gonorrhea and Chlamydia: a systematic review for the U.S. Preventive Services Task Force,10.7326/M14-1022,"BACKGROUND: Previous research has supported screening for gonorrhea and chlamydia in asymptomatic, sexually active women (including pregnant women) who are younger than 25 years or at increased risk but not in other patient populations. PURPOSE: To update the 2005 and 2007 systematic reviews for the U.S. Preventive Services Task Force on screening for gonorrhea and chlamydia in men and women, including pregnant women and adolescents. DATA SOURCES: MEDLINE (1 January 2004 to 13 June 2014), Cochrane databases (May 2014), ClinicalTrials.gov, and reference lists. STUDY SELECTION: English-language trials and observational studies about screening effectiveness, test accuracy, and screening harms. DATA EXTRACTION: Extracted study data were confirmed by a second investigator, and study quality and applicability were dual-rated using prespecified criteria. DATA SYNTHESIS: Screening a subset of asymptomatic young women for chlamydia in a good-quality trial did not significantly reduce the incidence of pelvic inflammatory disease over the following year (relative risk, 0.39 [95% CI, 0.14 to 1.08]); however, 1 previous trial reported a reduction. An observational study evaluating a risk prediction tool to identify persons with chlamydia in high-risk populations had low predictive ability and applicability. In 10 new studies of asymptomatic patients, nucleic acid amplification tests demonstrated sensitivity of 86% or greater and specificity of 97% or greater for diagnosing gonorrhea and chlamydia, regardless of specimen type or test. LIMITATIONS: There were few relevant studies of screening benefits and harms. Only screening tests and methods cleared by the U.S. Food and Drug Administration for current clinical practice were included to determine diagnostic accuracy. CONCLUSION: Chlamydia screening in young women may reduce the incidence of pelvic inflammatory disease. Nucleic acid amplification tests are accurate for diagnosing gonorrhea and chlamydia in asymptomatic persons. PRIMARY FUNDING SOURCE: Agency for Healthcare Research and Quality."
0,Reduced Endometrial Ascension and Enhanced Reinfection Associated With Immunoglobulin G Antibodies to Specific Chlamydia trachomatis Proteins in Women at Risk for Chlamydia,10.1093/infdis/jiab496,"BACKGROUND: Previous research revealed antibodies targeting Chlamydia trachomatis elementary bodies was not associated with reduced endometrial or incident infection in C. trachomatis-exposed women. However, data on the role of C. trachomatis protein-specific antibodies in protection are limited. METHODS: A whole-proteome C. trachomatis array screening serum pools from C. trachomatis-exposed women identified 121 immunoprevalent proteins. Individual serum samples were probed using a focused array. Immunoglobulin (Ig) G antibody frequencies and endometrial or incident infection relationships were examined using Wilcoxon rank sum test. The impact of the breadth and magnitude of protein-specific IgGs on ascension and incident infection were examined using multivariable stepwise logistic regression. Complementary RNA sequencing quantified C. trachomatis gene transcripts in cervical swab samples from infected women. RESULTS: IgG to pGP3 and CT_005 were associated with reduced endometrial infection; anti-CT_443, anti-CT_486, and anti-CT_123 were associated with increased incident infection. Increased breadth of protein recognition did not however predict protection from endometrial or incident infection. Messenger RNAs for immunoprevalent C. trachomatis proteins were highly abundant in the cervix. CONCLUSIONS: Protein-specific C. trachomatis antibodies are not sufficient to protect against ascending or incident infection. However, cervical C. trachomatis gene transcript abundance positively correlates with C. trachomatis protein immunogenicity. These abundant and broadly recognized antigens are viable vaccine candidates."
0,No indication for tissue tropism in urogenital and anorectal Chlamydia trachomatis infections using high-resolution multilocus sequence typing,10.1186/1471-2334-14-464,"BACKGROUND: Previous studies showed that C. trachomatis strains found in MSM are different from those in heterosexuals. This study investigates whether the differences in strain distribution between MSM and heterosexuals are due to tissue tropism. METHODS: C. trachomatis positive samples were collected from MSM (anorectal) and women (anorectal, cervical, vaginal, pharyngeal) visiting the STI outpatient clinic of Amsterdam between 2008 and 2013. All samples were typed using multilocus sequence typing (MLST). Epidemiological data were derived from electronic patient records. RESULTS: We obtained full MLST data for C. trachomatis from 207 MSM and 185 women, all with anorectal infections. Six large clusters were identified of which 3 consisted predominantly of samples from women (89%-100%), whereas the other 3 consisted predominantly of samples from MSM (97%-100%). Furthermore, we obtained full MLST data from 434 samples of 206 women with concurrent infections at multiple anatomical locations. No association was observed between C. trachomatis cluster and the anatomical location of infection. CONCLUSION: We found no indication for tissue tropism in urogenital, pharyngeal and anorectal C. trachomatis infections. Combined with results from previously conducted studies, we hypothesize that MSM and heterosexuals have different distributions of C. trachomatis strains due to their separate sexual networks."
0,"Optimizing Screening for Anorectal, Pharyngeal, and Urogenital Chlamydia trachomatis and Neisseria gonorrhoeae Infections in At-Risk Adolescents and Young Adults in New Orleans, Louisiana and Los Angeles, California, United States",10.1093/cid/ciaa1838,"BACKGROUND: Public health organizations have inconsistent recommendations for screening adolescents and young adults for Chlamydia trachomatis and Neisseria gonorrhoeae infections. Guidelines suggest different combinations of anorectal, pharyngeal, and urogenital testing based on age, sex, and sexual activity. Further evaluation of how identity and behaviors impact the anatomic distribution of C. trachomatis and N. gonorrhoeae infection is needed to optimize future screening practices. METHODS: We assessed the positivity of C. trachomatis and N. gonorrhoeae infections at different anatomic sites in a cohort of at-risk sexually active adolescents and young adults aged 12-24 years in New Orleans, Louisiana and Los Angeles, California. Participants were tested for C. trachomatis and N. gonorrhoeae at 3 sites (anorectum, pharynx, and urethral/cervix) every 4 months using self-collected swabs. We stratified anatomic distributions of infection into 4 gender and sexual behavior categories: (1) cisgender men who have sex with men and transgender women (MSMTW); (2) cisgender heterosexual males; (3) cisgender heterosexual females; and (4) gender minorities assigned female at birth. RESULTS: While three-site testing detected all infections, two-site (anorectum and urethra/cervix) testing identified 92%-100% of C. trachomatis or N. gonorrhoeae infections in participants assigned female at birth and cisgender heterosexual males. For MSMTW, two-site anorectal and pharyngeal testing vs single-site anorectal testing increased the proportion of individuals with either infection from 74% to 93%. CONCLUSIONS: Sexual behavior and gender identity may influence detection of C. trachomatis and N. gonorrhoeae infections at specific anatomic testing sites. Testing guidelines should incorporate sexual behavior and gender identity. CLINICAL TRIALS REGISTRATION: NCT03134833."
0,A rare case of large pyosalpinx in an elderly patient with well-controlled type 2 diabetes mellitus: a case report,10.1186/s13256-018-1841-6,"BACKGROUND: Pyosalpinx, which is one of the pelvic inflammatory diseases, is usually observed in young women; it is rarely found in older women. Possible causative agents are thought to be Chlamydia trachomatis and Neisseria gonorrhea in addition to some Enterobacteriaceae. On the other hand, type 2 diabetes is a disease with a lot of complications such as hyperglycemia, inflammation, and immune disorders. Therefore, patients with type 2 diabetes mellitus have an increased susceptibility to infection especially when glycemic control is poor. CASE PRESENTATION: We experienced a rare case of large pyosalpinx in an elderly patient with well-controlled type 2 diabetes mellitus. A 72-year-old Japanese woman with a 10-year history of type 2 diabetes mellitus had symptoms of diarrhea and persistent pain in left lower abdomen. She had mild tenderness to palpation in her abdomen. Inflammation markers were markedly elevated. Her abdominal computed tomography and magnetic resonance imaging on admission revealed a tumor in left side of intrapelvis and we diagnosed her as having pyosalpinx. Pathogenic bacteria were not detected. On admission, her glycemic control was relatively good; in addition, her glycated hemoglobin levels were around 6% for over 1 year. Although pathogenic bacteria were not detected, we started antibiotics therapy. Fourteen days after starting the antibiotics her laboratory data were improved. Three months later, the tumor was markedly smaller compared to that on admission. CONCLUSIONS: We should keep in mind that older patients with type 2 diabetes mellitus are immunocompromised hosts and thereby they could have rare pelvic inflammatory disease such as pyosalpinx even when good glycemic control is obtained for a long period of time."
1,"Chlamydia trachomatis and Mycoplasma genitalium prevalence and associated factors among women presenting to a pregnancy termination and contraception clinic, 2009-2019",10.1136/sextrans-2020-054695,"BACKGROUND: Risk of pelvic inflammatory disease associated with Chlamydia trachomatis and Mycoplasma genitalium is increased after termination of pregnancy (TOP) and may be increased after insertion of intrauterine devices (IUDs). Screening prior to these procedures is recommended only for C. trachomatis. We examined C. trachomatis and M. genitalium prevalence and associated factors among women presenting to a pregnancy termination and contraception service over 10 years. METHODS: Retrospective analysis of clinical data collected from 17 573 women aged 15-45 years in 2009-2019 and for 266 M. genitalium positive women tested for macrolide resistance-associated mutations in 2016-2019. RESULTS: C. trachomatis and M. genitalium prevalence was 3.7% and 3.4%, respectively. In multivariable analyses, shared risk factors were younger age (p<0.001, for both C. trachomatis and M. genitalium), socioeconomic disadvantage (p=0.045 and p=0.008, respectively) and coinfection (p<0.001, for both sexually transmitted infections), with 10.1% of C. trachomatis positive women also positive for M. genitalium. Additional risk factors were earlier year of visit (p=0.001) for C. trachomatis and for M. genitalium residing outside a major city (p=0.013). The proportion of M. genitalium infections tested between 2016 and 2019 with macrolide resistance-associated mutations was 32.7%. CONCLUSIONS: Given the high level of antimicrobial resistance and the prevalence of coinfection, testing C. trachomatis positive women for M. genitalium could be considered in this setting to prevent further spread of resistant infections. Further research is required into the causal link between M. genitalium and pelvic inflammatory disease in women undergoing TOP and IUD insertion."
1,Population effectiveness of opportunistic chlamydia testing in primary care in Australia: a cluster-randomised controlled trial,10.1016/S0140-6736(18)31816-6,"BACKGROUND: Screening young adults who are sexually active for genital Chlamydia trachomatis infection is promoted in several high-income countries, but its effectiveness at the population level is highly debated. We aimed to investigate the effects of opportunistic chlamydia testing in primary care on the estimated chlamydia prevalence in the population aged 16-29 years in Australia. METHODS: We did a cluster-randomised controlled trial. Clusters were rural towns with a minimum of 500 women and men aged 16-29 years and no more than six primary care clinics. We randomly allocated each cluster using a computer-generated minimisation algorithm to receive a multifaceted, clinic-based chlamydia testing intervention or to continue usual care. The intervention included computerised reminders to test patients, an education package, payments for chlamydia testing, and feedback on testing rates. The primary outcome was chlamydia prevalence, estimated before randomisation (survey 1) and at the end of the trial (survey 2) in patients aged 16-29 years who attended the clinics. Analyses were done by intention to treat. General practitioners and clinic staff were aware of group allocation, whereas patients and laboratory staff who performed the chlamydia tests were not. This trial was completed on Dec 31, 2015, and is registered (ACTRN12610000297022). FINDINGS: Between Dec 14, 2010, and Sept 14, 2015, 26 clusters (63 clinics) received the chlamydia testing intervention and 26 (67 clinics) continued usual care. Over a mean duration of 3·1 years (SD 0·3), 93 828 young adults attended intervention clinics and 86 527 attended control clinics. The estimated chlamydia prevalence decreased from 5·0% (95% CI 3·8 to 6·2) at survey 1 to 3·4% (2·7 to 4·1) at survey 2 in the intervention clusters (difference -1·6%, 95% CI -2·9 to -0·3) and from 4·6% (95% CI 3·5 to 5·7) at survey 1 to 3·4% (2·4 to 4·5) at survey 2 in the control clusters (difference -1·1%, -2·7 to 0·5). The unadjusted odds ratio for the difference between intervention and control clusters was 0·9 (95% CI 0·5 to 1·5). INTERPRETATION: These findings, in conjunction with evidence about the feasibility of sustained uptake of opportunistic testing in primary care, indicate that sizeable reductions in chlamydia prevalence might not be achievable. FUNDING: Australian Government Department of Health, National Health and Medical Research Council, Victorian Department of Health and Human Services, and New South Wales Ministry of Health."
0,Genotype-Specific Concordance of Chlamydia trachomatis Genital Infection Within Heterosexual Partnerships,10.1097/OLQ.0000000000000525,"BACKGROUND: Sexual transmission rates of Chlamydia trachomatis (Ct) cannot be measured directly; however, the study of concordance of Ct infection in sexual partnerships (dyads) can help to illuminate factors influencing Ct transmission. METHODS: Heterosexual men and women with Ct infection and their sex partners were enrolled and partner-specific coital and behavioral data collected for the prior 30 days. Microbiological data included Ct culture, and nucleic acid amplification testing (NAAT), quantitative Ct polymerase chain reaction, and ompA genotyping. We measured Ct concordance in dyads and factors (correlates) associated with concordance. RESULTS: One hundred twenty-one women and 125 men formed 128 dyads. Overall, 72.9% of male partners of NAAT-positive women and 68.6% of female partners of NAAT-positive men were Ct-infected. Concordance was more common in dyads with culture-positive members (78.6% of male partners, 77% of female partners). Partners of women and men who were NAAT-positive only had lower concordance (33.3%, 46.4%, respectively). Women in concordant dyads had significantly higher median endocervical quantitative Ct polymerase chain reaction values (3,032) compared with CT-infected women in discordant dyads (1013 inclusion forming units DNA equivalents per mL; P < 0.01). Among 54 Ct-concordant dyads with ompA genotype data for both members, 96.2% had identical genotypes. CONCLUSIONS: Higher organism load appears associated with concordance among women. Same-genotype chlamydial concordance was high in sexual partnerships. No behavioral factors were sufficiently discriminating to guide partner services activities. Findings may help model coitus-specific transmission probabilities."
0,Development a rapid and accurate multiplex real time PCR method for the detection Chlamydia trachomatis and Mycoplasma hominis,10.1002/jcla.22126,"BACKGROUND: Sexually transmitted diseases easily spread among sexually active people and often have no symptoms. Rapid and accurate method for detecting these infections are necessary in early stages. The traditional detection methods of them are difficult and time-consuming. METHODS: In this study, multiplex real time PCR was optimized for rapid identification of Chlamydia trachomatis and Mycoplasma hominis in a single tube and was performed with our designed primers. The sensitivity test was carried out to designed primers with diluted genomic DNA. To defined the specificity, non STD bacteria were used as DNA template. RESULTS: This study indicated that the developed multiplex real time PCR can be an effective alternative procedure to the conventional methods for rapid and accurate identification of C Chlamydia trachomatis and Mycoplasma hominis. Multiplex real-time PCR Results of them were checked with melting curves. The sensitivity of our designed primer by multiplex real time PCR for Chlamydia trachomatis and Mycoplasma hominis were 4.78×1010 and 8.35×1010 , respectively, Which the primers did not amplify any product from a non-STD species. CONCLUSIONS: Multiplex real time PCR by our new primers and analysis of melting curves were successfully usable for rapid and accurate detection of Chlamydia trachomatis and Mycoplasma hominis. This assay instead of traditional culture method, has considerable potential to be rapid, accurate and highly sensitive molecular diagnostic tool for simultaneous and direct detection."
1,"Self-Reported Infertility and Associated Pelvic Inflammatory Disease Among Women of Reproductive Age-National Health and Nutrition Examination Survey, United States, 2013-2016",10.1097/OLQ.0000000000000996,"BACKGROUND: Sexually transmitted diseases, including chlamydia and gonorrhea, cause of pelvic inflammatory disease (PID) and infertility. We estimated the prevalence of infertility and infertility health care seeking. METHODS: We analyzed self-reported lifetime infertility and infertility health care-seeking in women aged 18 to 49 years in the 2013 and 2015 National Health and Nutrition Examination Surveys. Weighted prevalence of infertility and infertility health care seeking, prevalence ratios (PRs), and 95% confidence intervals (CIs) were calculated. RESULTS: Among 2626 eligible women, 13.8% had self-reported infertility (95% CI, 12.3-15.3) with higher prevalence by age: 960, 18 to 29 years (PR, 6.4%; 95% CI, 4.8-8.0); 799, 30 to 39 years (PR, 14.8%; 95% CI, 12.2-17.3); and 867, 40 to 49 years (PR, 20.8%; 95% CI, 17.2-24.4). Non-Hispanic white women (PR, 15.4%; 95% CI, 13.0-17.8; n = 904) and non-Hispanic black women (PR, 12.9%; 95% CI, 10.3-15.5; n = 575) had the highest infertility prevalences. Women reporting PID treatment (n = 122) had higher infertility prevalence (PR, 24.2%; 95% CI, 16.2-32.2) than women without PID treatment (PR, 13.3%; 95% CI, 11.6-15.0; n = 2,485), especially among 18- to 29-year-old women (PR, 3.8; 95% CI, 1.8-8.0). Of 327 women with infertility, 60.9% (95% CI, 56.1-65.8) sought health care. Women without health care insurance sought care less frequently than women with insurance. CONCLUSIONS: In a nationally representative sample, 13.8% of reproductive-age women reported a history of infertility, of whom 40% did not access health care. Self-reported PID was associated with infertility, especially in young women. Annual chlamydia and gonorrhea screening to avert PID may reduce the burden of infertility in the United States."
0,[Sexually transmitted infections and male fertility],10.1007/s00105-018-4300-9,"BACKGROUND: Sexually transmitted infections (STI) are common worldwide and can cause impairment of fertility. In women pelvic inflammatory disease with subsequent tubal sterility is well-documented but the influence of STI on male fertility is still controversely discussed OBJECTIVE: The effects of various bacterial and viral STI on male fertility are discussed. MATERIAL AND METHODS: An evaluation of the international literature up to 30 April 2018 was carried out including studies on larger collectives from the Asiatic region. RESULTS: There is still an inconsistent picture of the influence of various bacterial and viral STI on male fertility. Direct or indirect evidence of the impact of a pathogen alone on the quality of ejaculates could not be clearly demonstrated; however, there are indications of a negative effect by Mycoplasma and Ureaplasma species in large Asiatic collectives. The transmission of viral pathogens, such as human papillomavirus (HPV), herpes simplex virus (HSV) and hepatitis B virus (HBV) possible impairs the success of assisted reproductive techniques. In contrast, manifest inflammatory processes of the male genital tract caused by STI (in particular Chlamydia and gonococci) or human immunodeficiency virus (HIV) infections often result in impairment of sperm qualtity. CONCLUSION: In cases of male fertility disorders a microbiological clarification is recommended. Further studies on the effect of STI on male fertility in larger collectives are necessary, particularly for Caucasian populations. The utilization of existing preventive measures, such as screening for Chlamydia in young women and HPV vaccination also for young males, should be intensively promoted."
0,Increased susceptibility to vaginal simian/human immunodeficiency virus transmission in pig-tailed macaques coinfected with Chlamydia trachomatis and Trichomonas vaginalis,10.1093/infdis/jiu240,"BACKGROUND: Sexually transmitted infections (STIs) are associated with an increased risk of human immunodeficiency virus (HIV) infection, but their biological effect on HIV susceptibility is not fully understood. METHODS: Female pig-tailed macaques inoculated with Chlamydia trachomatis and Trichomonas vaginalis (n = 9) or medium (controls; n = 7) were repeatedly challenged intravaginally with SHIVSF162p3. Virus levels were evaluated by real-time polymerase chain reaction, plasma and genital cytokine levels by Luminex assays, and STI clinical signs by colposcopy. RESULTS: Simian/HIV (SHIV) susceptibility was enhanced in STI-positive macaques (P = .04, by the log-rank test; relative risk, 2.5 [95% confidence interval, 1.1-5.6]). All STI-positive macaques were SHIV infected, whereas 3 controls (43%) remained uninfected. Moreover, relative to STI-negative animals, SHIV infections occurred earlier in the menstrual cycle in STI-positive macaques (P = .01, by the Wilcoxon test). Levels of inflammatory cytokines (interferon γ, interleukin 6, and granulocyte colony-stimulating factor [G-CSF]) were higher in STI-positive macaques during STI inoculation and SHIV exposure periods (P ≤ .05, by the Wilcoxon test). CONCLUSIONS: C. trachomatis and T. vaginalis infection increase the susceptibility to SHIV, likely because of prolonged genital tract inflammation. These novel data demonstrate a biological link between these nonulcerative STIs and the risk of SHIV infection, supporting epidemiological associations of HIV and STIs. This study establishes a macaque model for studies of high-risk HIV transmission and prevention."
0,Influence of sexually transmitted infections on the cervical cytological abnormalities among Iranian women: A cross-sectional study.,10.18502/ijrm.v21i6.13636,"BACKGROUND: Sexually transmitted infections (STIs) are one of the world's most severe health challenges. The existence of STIs such as human papillomavirus  (HPV) might cause cervical cell changes leading to cervical cancer. OBJECTIVE:  This study aims to assess the association of STIs with cervical cytological  abnormalities and genital warts among women in northeastern Iran. MATERIALS AND  METHODS: This cross-sectional study was carried out on 190 women referred to the  central laboratory of Academic Center for Education, Culture, and Research,  Mashhad, Iran from March to July 2022. The presence of genital infections caused  by Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma genitalium, and  Herpes simplex viruses (1 and 2) were assessed using the real-time polymerase  chain reaction method. HPV genital infection was detected based on the principles  of reverse hybridization, and cellular changes in the cervix were examined by the  liquid-based cytology technique. RESULTS: The mean age of participants was 35.33  ± 8.9 yr. 34 different HPV genotypes were detected in all HPV-positive cases, and  the most common genotype was low-risk HPV6. No significant association was found  between STIs and cervical cytology abnormalities. The prevalence rates of  sexually transmitted pathogens among HPV-positive and HPV-negative individuals  were 10.9 and 1.6%, respectively. The frequency of genital warts was  significantly higher in cases with multiple infections of high- and low-risk HPV  genotypes. CONCLUSION: High percentages of the participants with non-HPV STIs and  HPV infection had normal cervical cytology. It is advised to use STIs and HPV  diagnostic tests along with cytology examinations for cervical cancer screening."
0,Molecular epidemiology and socio-demographic risk factors of sexually transmitted infections among women in Lebanon,10.1186/s12879-020-05066-8,"BACKGROUND: Sexually transmitted infections (STIs) cause a major public health problem that affect both men and women in developing and developed countries. The aim of the study was to estimate the prevalence of 11 STIs among women who voluntarily participated in the study, while seeking gynecological checkup. The existence of an association between the presence of pathogens and symptoms and various sociodemographic risk factors was assessed. METHODS: A total of 505 vaginal and cervical specimens were collected from women above 18 years of age, with or without symptoms related to gynecological infections. Nucleic acid was extracted and samples were tested by real-time PCR for the following pathogens: Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma genitalium, Ureaplasma urealyticum, Urealplasma parvum, Trichomonas vaginalis, Mycoplasma hominis, Mycoplasma girerdii, Gardnerella vaginalis, Candida albicans and Human Papillomavirus (HPV). Positive HPV samples underwent genotyping using a microarray system. RESULTS: Of the 505 samples, 312 (62%) were screened positive for at least one pathogen. Of these, 36% were positive for Gardnerella vaginalis, 35% for Ureaplasma parvum, 8% for Candida albicans, 6.7% for HPV, 4.6% for Ureaplasma urealyticum, 3.6% for Mycoplasma hominis, 2% for Trichomonas vaginalis, 0.8% for Chlamydia trachomatis, 0.4% for Mycoplasma girerdii, 0.2% for Mycoplasma genitalium and 0.2% for Neisseria gonorrhoeae. Lack of symptoms was reported in 187 women (37%), among whom 61% were infected. Thirty-four samples were HPV positive, with 17 high risk HPV genotypes (HR-HPV); the highest rates being recorded for types 16 (38%), 18 (21%) and 51 (18%). Out of the 34 HPV positives, 29 participants had HR-HPV. Association with various risk factors were reported. CONCLUSIONS: This is the first study that presents data about the presence of STIs among women in Lebanon and the MENA region by simultaneous detection of 11 pathogens. In the absence of systematic STI surveillance in Lebanon, concurrent screening for HPV and PAP smear is warranted."
0,A Web-Based Sexual Health Intervention to Prevent Sexually Transmitted Infections in Hong Kong: Model-Based Cost-Effectiveness Analysis.,10.2196/45054,"BACKGROUND: Sexually transmitted infections (STIs) remain a significant public health concern, particularly among young adults, and Chlamydia trachomatis (CT)  infections are the most common STIs in young women. One of the most effective  ways to prevent STIs is the consistent use of condoms during sexual intercourse.  There has been no economic evaluation of the interactive web-based sexual health  program, Smart Girlfriend, within the Chinese population. OBJECTIVE: This study  aimed to evaluate the long-term cost-effectiveness of Smart Girlfriend in  preventing STIs in the Chinese population. The evaluation compared the program  with a control intervention that used a 1-page information sheet on condom use.  METHODS: A decision-analytic model that included a decision tree followed by a  Markov structure of CT infections was developed since CT is the most prevalent  STI among young women. The model represents the long-term experience of  individuals who received either the intervention or the control. One-way and  probabilistic sensitivity analyses were conducted. The main outcomes were the  number of CT infections and the incremental cost as per quality-adjusted life  year (QALY). RESULTS: A cohort of 10,000 sexually active nonpregnant young women  initially entered the model in a noninfectious state (ie, ""well""). In the  base-case analysis, the implementation of the Smart Girlfriend program resulted  in the prevention of 0.45% of CT infections, 0.3% of pelvic inflammatory disease,  and 0.04% of chronic pelvic pain, leading to a gain of 70 discounted QALYs and  cost savings over a 4-year time horizon, compared to the control group. With more  than 4548 users, the intervention would be cost-effective, and with more than  8315 users, the intervention would be cost saving. A 99% probability of being  cost-effective was detected with a willingness to pay US $17,409 per QALY.  CONCLUSIONS: Smart Girlfriend is a cost-effective and possibly cost-saving  program over a 4-year time horizon. This result was particularly sensitive to the  number of website users; launching the website would be cost-effective if more  than 4548 people used it. Further work is warranted to explore if the findings  could be expanded to apply to women who have sex with women and in the context of  other STIs. TRIAL REGISTRATION: ClinicalTrial.gov NCT03695679;  https://clinicaltrials.gov/study/NCT03695679."
0,STI-GMaS: an open-source environment for simulation of sexually-transmitted infections,10.1186/1752-0509-8-66,"BACKGROUND: Sexually-transmitted pathogens often have severe reproductive health implications if treatment is delayed or absent, especially in females. The complex processes of disease progression, namely replication and ascension of the infection through the genital tract, span both extracellular and intracellular physiological scales, and in females can vary over the distinct phases of the menstrual cycle. The complexity of these processes, coupled with the common impossibility of obtaining comprehensive and sequential clinical data from individual human patients, makes mathematical and computational modelling valuable tools in developing our understanding of the infection, with a view to identifying new interventions. While many within-host models of sexually-transmitted infections (STIs) are available in existing literature, these models are difficult to deploy in clinical/experimental settings since simulations often require complex computational approaches. RESULTS: We present STI-GMaS (Sexually-Transmitted Infections - Graphical Modelling and Simulation), an environment for simulation of STI models, with a view to stimulating the uptake of these models within the laboratory or clinic. The software currently focuses upon the representative case-study of Chlamydia trachomatis, the most common sexually-transmitted bacterial pathogen of humans. Here, we demonstrate the use of a hybrid PDE-cellular automata model for simulation of a hypothetical Chlamydia vaccination, demonstrating the effect of a vaccine-induced antibody in preventing the infection from ascending to above the cervix. This example illustrates the ease with which existing models can be adapted to describe new studies, and its careful parameterisation within STI-GMaS facilitates future tuning to experimental data as they arise. CONCLUSIONS: STI-GMaS represents the first software designed explicitly for in-silico simulation of STI models by non-theoreticians, thus presenting a novel route to bridging the gap between computational and clinical/experimental disciplines. With the propensity for model reuse and extension, there is much scope within STI-GMaS to allow clinical and experimental studies to inform model inputs and drive future model development. Many of the modelling paradigms and software design principles deployed to date transfer readily to other STIs, both bacterial and viral; forthcoming releases of STI-GMaS will extend the software to incorporate a more diverse range of infections."
0,Co-infection of sexually transmitted pathogens and Human Papillomavirus in cervical samples of women of Brazil,10.1186/s12879-017-2835-5,"BACKGROUND: Some sexually transmitted infectious agents, such as Chlamydia trachomatis and Herpes simplex, cause local inflammation, and could contribute to Human Papillomavirus (HPV) and cervical lesion progression. Thus, the aim of this study was to determine any association between the presence of microorganisms of gynecological importance, sexual behavior, clinical and demographical variables to the development and progress of cervical lesions. METHODS: One hundred and thirty-two women between 14 and 78 years and living at Vitória da Conquista, Bahia, Brazil, were included (62 individuals with cervical lesions and 70 without lesions). They answered a questionnaire to provide data for a socioeconomic and sexual activity profile. Samples of cervical swabs were collected and analyzed by PCR to detect genital microorganisms and HPV. Quantitative PCR was used to detect and quantify Ureaplasma urealyticum and Ureaplasma parvum. Univariate and multiple logistic regression were performed to measure the association with the cervical lesions, and an odds ratio (OR) with 95% confidence intervals (95%CI) were calculated. The Mann-Whitney U test was also used to compare the microorganism load in the case and control groups. The significance level was 5% in all hypotheses tested. RESULTS: Cervical lesions were associated with: women in a stable sexual relationship (OR = 14.21, 95%CI = 3.67-55.018), positive PCR for HPV (OR = 16.81, 95%CI = 4.19-67.42), Trichomonas vaginalis (OR = 8.566, 95%CI = 2.04-35.94) and Gardnerella vaginalis (OR = 6.13, 95%CI = 1.53-24.61), adjusted by age and qPCR for U. parvum. U. parvum load showed a statistical difference between the case and control groups (p-value = 0.002). CONCLUSION: Variables such as stable relationship, HPV, T. vaginalis, G. vaginalis were associated with cervical lesions in epidemiological studies. U. parvum load was higher in woman with cervical lesions compared with women without lesions. Additional studies are needed to better understand the role of these factors in cervical lesion development."
